horodatage;timezone;sha_model;groupe;ticker;source;spot;prob_ml;seuil_ml;prob_implicite;ratio;direction;decision;raison;side;strike;expiry;dte;bid;ask;mid;iv;delta;theta_jour;vega;cout_entree_ask;ret_1s;ret_3s;ret_5s;exit_bid_1s;exit_bid_3s;exit_bid_5s;pnl_option_est_5s_pct;resultat_direction_seule;statut
2026-07-14T11:11:21-04:00;America/New_York;11fa6982d2cf3659;scan;KVUE;yahoo;18.93;0.1192;0.323;0.205;0.581;-0.243;rejet_prob;prob 0.119 < seuil 0.323;;;;;;;;;;;;;-0.01215;;;;;;;;en_attente
2026-07-15T11:11:34-04:00;America/New_York;11fa6982d2cf3659;scan;AAPL;yahoo;324.085;0.0116;0.323;0.0745;0.156;0.576;rejet_prob;prob 0.012 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:35-04:00;America/New_York;11fa6982d2cf3659;scan;NVDA;yahoo;209.5293;0.2757;0.323;0.143;1.928;0.407;rejet_prob;prob 0.276 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:36-04:00;America/New_York;11fa6982d2cf3659;scan;TSLA;yahoo;397.4;0.188;0.323;0.066;2.848;0.159;rejet_prob;prob 0.188 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:36-04:00;America/New_York;11fa6982d2cf3659;scan;AMD;yahoo;520.31;0.1364;0.323;0.1911;0.714;0.279;rejet_prob;prob 0.136 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:37-04:00;America/New_York;11fa6982d2cf3659;scan;META;yahoo;684.335;0.0781;0.323;0.1503;0.52;0.76;rejet_prob;prob 0.078 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:38-04:00;America/New_York;11fa6982d2cf3659;scan;SPY;yahoo;753.849;0.3602;0.323;0.0841;4.283;-0.054;signal_sans_direction;mouvement probable mais aucune direction claire : pas de trade;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:39-04:00;America/New_York;11fa6982d2cf3659;scan;QQQ;yahoo;716.16;0.2334;0.323;0.0652;3.58;-0.507;rejet_prob;prob 0.233 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:39-04:00;America/New_York;11fa6982d2cf3659;scan;COIN;yahoo;163.79;0.1469;0.323;0.3377;0.435;0.274;rejet_prob;prob 0.147 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:40-04:00;America/New_York;11fa6982d2cf3659;scan;PLTR;yahoo;134.785;0.1083;0.323;0.2235;0.485;0.308;rejet_prob;prob 0.108 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:40-04:00;America/New_York;11fa6982d2cf3659;scan;SOFI;yahoo;18.3101;0.2538;0.323;0.4172;0.608;0.554;rejet_prob;prob 0.254 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:40-04:00;America/New_York;11fa6982d2cf3659;A;SOFI;yahoo;18.3101;0.2538;0.323;0.4172;0.608;0.554;rejet_prob;prob 0.254 < seuil 0.323;call;19.5;2026-08-07;23.0;0.84;0.88;0.86;0.7119;0.402;-0.0283;0.0178;88.0;;;;;;;;;en_attente
2026-07-15T11:11:41-04:00;America/New_York;11fa6982d2cf3659;scan;MARA;yahoo;11.965;0.119;0.323;0.3089;0.385;-0.144;rejet_prob;prob 0.119 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:42-04:00;America/New_York;11fa6982d2cf3659;scan;F;yahoo;14.305;0.3422;0.323;0.3638;0.941;0.326;rejet_ratio;options déjà chères : ratio 0.94 < 1.5 (p_implicite 0.364);;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:42-04:00;America/New_York;11fa6982d2cf3659;A;F;yahoo;14.305;0.3422;0.323;0.3638;0.941;0.326;rejet_ratio;options déjà chères : ratio 0.94 < 1.5 (p_implicite 0.364);call;15.0;2026-08-07;23.0;0.35;0.38;0.365;0.4473;0.366;-0.0137;0.0135;38.0;;;;;;;;;en_attente
2026-07-15T11:11:42-04:00;America/New_York;11fa6982d2cf3659;scan;T;yahoo;21.4697;0.0599;0.323;0.1702;0.352;-0.018;rejet_prob;prob 0.060 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:43-04:00;America/New_York;11fa6982d2cf3659;scan;PFE;yahoo;24.69;0.1649;0.323;0.2358;0.699;0.201;rejet_prob;prob 0.165 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:43-04:00;America/New_York;11fa6982d2cf3659;scan;AAL;yahoo;15.9301;0.1499;0.323;0.245;0.612;0.059;rejet_prob;prob 0.150 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:44-04:00;America/New_York;11fa6982d2cf3659;scan;NIO;yahoo;5.13;0.3908;0.323;0.3251;1.202;0.262;rejet_ratio;options déjà chères : ratio 1.20 < 1.5 (p_implicite 0.325);;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:45-04:00;America/New_York;11fa6982d2cf3659;scan;INTC;yahoo;102.1599;0.1397;0.323;0.2142;0.652;-0.143;rejet_prob;prob 0.140 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:45-04:00;America/New_York;11fa6982d2cf3659;scan;PLUG;yahoo;2.2199;0.368;0.323;0.5084;0.724;-0.272;rejet_ratio;options déjà chères : ratio 0.72 < 1.5 (p_implicite 0.508);;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:46-04:00;America/New_York;11fa6982d2cf3659;scan;RIVN;yahoo;18.255;0.0271;0.323;0.0351;0.772;0.5;rejet_prob;prob 0.027 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:46-04:00;America/New_York;11fa6982d2cf3659;A;RIVN;yahoo;18.255;0.0271;0.323;0.0351;0.772;0.5;rejet_prob;prob 0.027 < seuil 0.323;call;19.5;2026-08-07;23.0;0.99;1.12;1.055;0.8311;0.421;-0.0332;0.0179;112.0;;;;;;;;;en_attente
2026-07-15T11:11:46-04:00;America/New_York;11fa6982d2cf3659;scan;LCID;yahoo;5.4699;0.034;0.323;0.2646;0.128;0.088;rejet_prob;prob 0.034 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:47-04:00;America/New_York;11fa6982d2cf3659;scan;SNAP;yahoo;4.8103;0.2212;0.323;0.3515;0.629;0.27;rejet_prob;prob 0.221 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:47-04:00;America/New_York;11fa6982d2cf3659;scan;WBD;yahoo;27.225;0.1378;0.323;0.7073;0.195;0.4;rejet_prob;prob 0.138 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:47-04:00;America/New_York;11fa6982d2cf3659;A;WBD;yahoo;27.225;0.1378;0.323;0.7073;0.195;0.4;rejet_prob;prob 0.138 < seuil 0.323;call;28.0;2026-08-07;23.0;0.35;0.8;0.575;0.4063;0.422;-0.0249;0.0267;80.0;;;;;;;;;en_attente
2026-07-15T11:11:48-04:00;America/New_York;11fa6982d2cf3659;scan;VALE;yahoo;14.595;0.3013;0.323;0.2597;1.16;-0.165;rejet_prob;prob 0.301 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
2026-07-15T11:11:49-04:00;America/New_York;11fa6982d2cf3659;scan;PBR;yahoo;17.785;0.1196;0.323;0.4776;0.25;0.352;rejet_prob;prob 0.120 < seuil 0.323;;;;;;;;;;;;;;;;;;;;;en_attente
